Season,ppp,orb.pct,ppFGM
23,1.16,0.248,2.303738318
22,1.148,0.24,2.295238095
21,1.12,0.232,2.306569343
20,1.123,0.222,2.307506053
19,1.106,0.225,2.29950495
18,1.104,0.229,2.276960784
17,1.086,0.223,2.264197531
16,1.088,0.233,2.246268657
15,1.064,0.238,2.222222222
14,1.056,0.251,2.20959596
13,1.066,0.255,2.206030151
12,1.058,0.265,2.19201995
11,1.046,0.27,2.176767677
10,1.073,0.264,2.174563591
9,1.076,0.263,2.170792079
8,1.083,0.267,2.179104478
7,1.075,0.267,2.177057357
6,1.065,0.271,2.164974619
5,1.062,0.273,2.160714286
4,1.061,0.287,2.155612245
3,1.029,0.286,2.147668394
2,1.036,0.285,2.143958869
